Post ID;Original Text;Ground Truth (Manual)
1;aq gk ngerti sm skli;aku gak ngerti sama sekali
2;km lg ap?;kamu lagi apa?
3;baikkkk bgt km;baik banget kamu
4;4ku lg mkn di rmh2;aku lagi makan di rumah-rumah
5;gaje bgt sih;tidak jelas banget sih
6;aku seneeeng bgt hr ini;aku senang banget hari ini
7;hati2 di jalan ya;hati-hati di jalan ya
8;kmrn aq nonton film bgs bgt;kemarin aku nonton film bagus banget
9;gue lg di cafe nihh;gue lagi di kafe nih
10;kmu lucu bngt sumpah;kamu lucu banget sumpah
11;skrg udrn deras bgt;sekarang hujan deras banget
12;m4kan p4gi bareng yukk;makan pagi bareng yuk
13;rumah2 di kompleksku gede2;rumah-rumah di kompleksku gede-gede
14;demen bgt mkn soto;senang banget makan soto
15;kmrn aq dapet nilai bgus;kemarin aku dapat nilai bagus
16;gue lg nyari kosan2 murah;gue lagi nyari kosan-kosan murah
17;blajar trus spy pinter;belajar terus supaya pintar
18;aku kgn km;aku kangen kamu
19;@udin makasih infonya;@udin makasih infonya
20;linknya https://contoh.com yah;linknya https://contoh.com yah
21;lo bener2 gokil;lo benar-benar gokil
22;drpd diem mending ngobrol;daripada diam mending ngobrol
23;aq mkn pke tangan;aku makan pakai tangan
24;gue b4ru balik dr bandara;gue baru balik dari bandara
25;sll sehat ya;selalu sehat ya
26;kmrn2 gue ke pantai;kemarin-kemarin gue ke pantai
27;gue lg ngumpul sm tmn2;gue lagi ngumpul sama teman-teman
28;kmu knp diem aja?;kamu kenapa diam saja?
29;aku lpy dr hpku;aku lepas dari hpku
30;wkwkwk bener bgt;wkwkwk benar banget
31;sy knl dia dr sma;saya kenal dia dari SMA
32;blg sm mama;bilang sama mama
33;dia kocak bgt;dia kocak banget
34;gue gk trllu paham;gue gak terlalu paham
35;ntar malem mkn2 yuk;ntar malam makan-makan yuk
36;aq lgi sibuk bgt;aku lagi sibuk banget
37;kmrn aq ke mall bsr;kemarin aku ke mal besar
38;gue pgn mkn mie ayam;gue pengen makan mi ayam
39;pls dtg cepet;tolong datang cepat
40;gue lg maen ml nih;gue lagi main ML nih
41;jgn lma2 di luar;jangan lama-lama di luar
42;gue udh sampe nih;gue sudah sampai nih
43;kmu brgkt jam brp?;kamu berangkat jam berapa?
44;gue bgt2 seneng;gue banget-banget senang
45;loh aq blum siap;loh aku belum siap
46;mantapppp polll;mantap pol
47;kmu gmn kabarnya?;kamu gimana kabarnya?
48;aq brgkt pgi2 bgt;aku berangkat pagi-pagi banget
49;gue nyampe stasiun nih;gue sampai stasiun nih
50;dri td ujan gede;dari tadi hujan gede
51;4ku lg mkn bakso;aku lagi makan bakso
52;rumah2 di sini rapi2;rumah-rumah di sini rapi-rapi
53;gue gk tw;gue gak tahu
54;kmrn aq mkn pecel lele;kemarin aku makan pecel lele
55;km lg ngapain sih?;kamu lagi ngapain sih?
56;bgs bgt bajunya;bagus banget bajunya
57;aq seneeeng pny temen kyk km;aku senang punya teman kayak kamu
58;gue dpt hadiah dr dia;gue dapat hadiah dari dia
59;sy sllu ingat pesanmu;saya selalu ingat pesanmu
60;kmrn2 aq ke pasar;kemarin-kemarin aku ke pasar
61;aq m4u ikut;aku mau ikut
62;kmu hrs dtg besok;kamu harus datang besok
63;gue laper nih;gue lapar nih
64;aku kngn ortu;aku kangen orang tua
65;gue gaje liat berita;gue tidak jelas lihat berita
66;kmrn aq lht pameran lukisan;kemarin aku lihat pameran lukisan
67;aq sukaaaaaa bgt;aku suka banget
68;mantap polll bgt;mantap pol banget
69;kmrn aq ke bioskop;kemarin aku ke bioskop
70;gue lg jln2 sore;gue lagi jalan-jalan sore
71;aq bru beli bju baru;aku baru beli baju baru
72;skrg aq di kantor;sekarang aku di kantor
73;gue gpp kok;gue gak apa-apa kok
74;gue brgkt pgi;gue berangkat pagi
75;kmu blg sm dia;kamu bilang sama dia
76;gue bsok ujian;gue besok ujian
77;mantappp guys;mantap guys
78;@budi ayo main;@budi ayo main
79;gue nntn bola;gue nonton bola
80;aq mkn nasi uduk;aku makan nasi uduk
81;kmrn gue mkn martabak;kemarin gue makan martabak
82;aq lagi m4en game;aku lagi main game
83;rumah2 di desa sepi;rumah-rumah di desa sepi
84;kmu brgkt lusa;kamu berangkat lusa
85;gue pgn jajan;gue pengen jajan
86;aq nnton tv;aku nonton TV
87;gue dpt kabar baik;gue dapat kabar baik
88;mantappp bgt;mantap banget
89;kmrn aq ke kebun binatang;kemarin aku ke kebun binatang
90;gue skrg di rumah;gue sekarang di rumah
91;aku lgi makan siang;aku lagi makan siang
92;gaje bener;tidak jelas benar
93;gue mkn ayam goreng;gue makan ayam goreng
94;aq seneng bgt hari ini;aku senang banget hari ini
95;gue lagi di jalan;gue lagi di jalan
96;gue m4u tidur;gue mau tidur
97;gue lg nugas;gue lagi nugas
98;gue mkn soto ayam;gue makan soto ayam
99;mantappp;mantap
100;aq sukaaaa banget;aku suka banget
101;gue lg di kampus;gue lagi di kampus
102;kmrn aq mkn bakmi;kemarin aku makan bakmi
103;gue b4ru pulang;gue baru pulang
104;mantapppp pol;mantap pol
105;aq mkn pecel;aku makan pecel
106;gue lg nyari buku;gue lagi nyari buku
107;kmrn gue ke museum;kemarin gue ke museum
108;rumah2nya bagus;rumah-rumahnya bagus
109;gue gk ngerti;gue gak ngerti
110;aq lg di cafe;aku lagi di kafe
111;mantap bgt;mantap banget
112;aku pgn liburan;aku pengen liburan
113;gue mkn sate;gue makan sate
114;4ku lg mkn di pasar;aku lagi makan di pasar
115;kmrn2 gue sibuk;kemarin-kemarin gue sibuk
116;aq mkn bakso;aku makan bakso
117;gue lg di mobil;gue lagi di mobil
118;mantappp bro;mantap bro
119;kmu hrs belajar;kamu harus belajar
120;gue bgt seneng;gue banget senang
121;hati2 di jalan;hati-hati di jalan
122;aq p4gi mkn bubur;aku pagi makan bubur
123;kmrn aq m4in bola;kemarin aku main bola
124;gue lg liat tv;gue lagi lihat TV
125;aku senenggg;aku senang
126;gue brgkt skrg;gue berangkat sekarang
127;mantappp nih;mantap nih
128;gue lg di kelas;gue lagi di kelas
129;kmrn aq ke toko buku;kemarin aku ke toko buku
130;rumah2nya rame;rumah-rumahnya rame
131;gue mkn nasi goreng;gue makan nasi goreng
132;aq lagi makan;aku lagi makan
133;gue skrg di taman;gue sekarang di taman
134;mantap polll;mantap pol
135;aq pgn tidur;aku pengen tidur
136;gue mkn mie ayam;gue makan mi ayam
137;kmrn gue ke pasar;kemarin gue ke pasar
138;rumah2 di kota besar;rumah-rumah di kota besar
139;gue laper bgt;gue lapar banget
140;aku kngn kamu;aku kangen kamu
141;gue gaje liat berita;gue tidak jelas lihat berita
142;mantap bgt sih;mantap banget sih
143;aq brgkt pagi;aku berangkat pagi
144;gue m4in game;gue main game
145;kmrn2 aq sibuk;kemarin-kemarin aku sibuk
146;rumah2 itu rapi;rumah-rumah itu rapi
147;gue lagi makan sate;gue lagi makan sate
148;aq senanggg;aku senang
149;mantappp ajah;mantap saja
150;gue mkn mie ayam;gue makan mi ayam
151;aku lg di rumah;aku lagi di rumah
152;gue brgkt skrg;gue berangkat sekarang
153;kmrn aq ke mall;kemarin aku ke mal
154;rumah2 di kampung;rumah-rumah di kampung
155;gue gk paham;gue gak paham
156;mantappp polll;mantap pol
157;aq mau tidur;aku mau tidur
158;gue lg makan bakso;gue lagi makan bakso
159;kmrn aq ke pasar;kemarin aku ke pasar
160;rumah2 itu besar;rumah-rumah itu besar
161;gue laparrr;gue lapar
162;mantap bgt;mantap banget
163;aq mkn nasi uduk;aku makan nasi uduk
164;gue lg di cafe;gue lagi di kafe
165;kmrn gue ke bioskop;kemarin gue ke bioskop
166;rumah2 di kota;rumah-rumah di kota
167;gue seneng bgt;gue senang banget
168;mantap pol;mantap pol
169;aq m4kan sate;aku makan sate
170;gue brgkt pagi;gue berangkat pagi
171;kmrn aq ke museum;kemarin aku ke museum
172;rumah2 di desa;rumah-rumah di desa
173;gue gk ngerti;gue gak ngerti
174;mantappp bro;mantap bro
175;aq mkn bakso;aku makan bakso
176;gue lg nyari buku;gue lagi nyari buku
177;kmrn gue ke pasar;kemarin gue ke pasar
178;rumah2 itu bagus;rumah-rumah itu bagus
179;gue laper nih;gue lapar nih
180;mantappp bgt;mantap banget
181;aq m4kan pecel;aku makan pecel
182;gue mkn nasi goreng;gue makan nasi goreng
183;kmrn aq ke kebun;kemarin aku ke kebun
184;rumah2 di jalan itu;rumah-rumah di jalan itu
185;gue senenggg;gue senang
186;mantap polll;mantap pol
187;aq lagi di taman;aku lagi di taman
188;gue brgkt sekarang;gue berangkat sekarang
189;kmrn gue mkn bakso;kemarin gue makan bakso
190;rumah2nya rapi;rumah-rumahnya rapi
191;gue gk paham;gue gak paham
192;mantap bgt nih;mantap banget nih
193;aq mau makan;aku mau makan
194;gue lg di kantor;gue lagi di kantor
195;kmrn aq m4kan sate;kemarin aku makan sate
196;rumah2 di pinggir jalan;rumah-rumah di pinggir jalan
197;gue laper bgt;gue lapar banget
198;mantappp pol;mantap pol
199;aq m4kan bubur;aku makan bubur
200;gue lagi di kampus;gue lagi di kampus
201;kmrn gue mkn sate;kemarin gue makan sate
202;rumah2 di tepi pantai;rumah-rumah di tepi pantai
203;gue seneng bgt;gue senang banget
204;mantap pol;mantap pol
205;aq m4kan mie ayam;aku makan mi ayam
206;gue brgkt lusa;gue berangkat lusa
207;kmrn aq ke pantai;kemarin aku ke pantai
208;rumah2 di pegunungan;rumah-rumah di pegunungan
209;gue gk ngerti;gue gak ngerti
210;mantappp bro;mantap bro
211;aq mkn nasi uduk;aku makan nasi uduk
212;gue lg nyari makanan;gue lagi nyari makanan
213;kmrn gue ke taman;kemarin gue ke taman
214;rumah2 di komplek itu;rumah-rumah di komplek itu
215;gue laper nih;gue lapar nih
216;mantappp bgt;mantap banget
217;aq m4kan soto;aku makan soto
218;gue mkn nasi goreng;gue makan nasi goreng
219;kmrn aq ke toko;kemarin aku ke toko
220;rumah2 di pinggir kali;rumah-rumah di pinggir kali
221;gue senenggg;gue senang
222;mantap polll;mantap pol
223;aq lagi di pasar;aku lagi di pasar
224;gue brgkt pagi;gue berangkat pagi
225;kmrn gue mkn bakso;kemarin gue makan bakso
226;rumah2 di kampung itu;rumah-rumah di kampung itu
227;gue gk paham;gue gak paham
228;mantap bgt nih;mantap banget nih
229;aq mau makan;aku mau makan
230;gue lg di taman;gue lagi di taman
231;kmrn aq m4kan sate;kemarin aku makan sate
232;rumah2 di perbukitan;rumah-rumah di perbukitan
233;gue laper bgt;gue lapar banget
234;mantappp pol;mantap pol
235;aq m4kan bubur;aku makan bubur
236;gue lagi di kampus;gue lagi di kampus
237;kmrn gue mkn sate;kemarin gue makan sate
238;rumah2 di tepi hutan;rumah-rumah di tepi hutan
239;gue seneng bgt;gue senang banget
240;mantap pol;mantap pol
241;aq m4kan mie ayam;aku makan mi ayam
242;gue brgkt lusa;gue berangkat lusa
243;kmrn aq ke pantai;kemarin aku ke pantai
244;rumah2 di pegunungan;rumah-rumah di pegunungan
245;gue gk ngerti;gue gak ngerti
246;mantappp bro;mantap bro
247;aq mkn nasi uduk;aku makan nasi uduk
248;gue lg nyari makanan;gue lagi nyari makanan
249;kmrn gue ke taman;kemarin gue ke taman
250;rumah2 di komplek itu;rumah-rumah di komplek itu
251;gue laper nih;gue lapar nih
252;mantappp bgt;mantap banget
253;aq m4kan soto;aku makan soto
254;gue mkn nasi goreng;gue makan nasi goreng
255;kmrn aq ke toko;kemarin aku ke toko
256;rumah2 di pinggir kali;rumah-rumah di pinggir kali
257;gue senenggg;gue senang
